epoch,accuracy,loss,lr
0,0.37066665291786194,1.121052622795105,0.01
1,0.7426666617393494,0.7492328882217407,0.01
2,0.8973333239555359,0.40923383831977844,0.01
3,0.9626666903495789,0.22100423276424408,0.01
4,0.9760000109672546,0.13978710770606995,0.01
5,0.9773333072662354,0.0859842598438263,0.01
6,0.9906666874885559,0.06906085461378098,0.01
7,0.9973333477973938,0.05034835636615753,0.01
